,title,Directed by,Produced by,Written by,Narrated by,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box Office (float),Release date (datetime),imdb,metascore,rotten_tomatoes,Production company,Screenplay by,Story by,Based on,Starring,Adaptation by,Animation by,Traditional,Simplified,Countries,Languages,Japanese,Hepburn,Color process
0,March of the Penguins,Luc Jacquet,"['Yves Darondeau', 'Christophe Lioud', 'Emmanuel Priou']","['Luc Jacquet', 'Michel Fessler', 'Jordan Roberts (English Version)']","['Amitabh Bachchan (Hindi)', 'Charles Berling (French)', 'Romane Bohringer (French)', 'Jules Sitruk (French)', 'Morgan Freeman (English)', 'Sharon Cuneta ( Filipino )']","['Émilie Simon (France)', 'Alex Wurman (US)']","['Laurent Chalet', 'Jérôme Maison']",Sabine Emiliani,"['Wild Bunch', 'National Geographic Films', 'Bonne Pioche']",Buena Vista International France,['26 January 2005'],80 minutes,France,French,$8 million,$127.4 million,80,8000000.0,127400000.0,,N/A,N/A,,,,,,,,,,,,,,,
1,Academy Award Review of,,,,,,,,,,"['May 19, 1937']",41 minutes (74 minutes 1966 release),United States,English,,$45.472,41,,45.472,1937-05-19,7.1,N/A,,Walt Disney Productions,,,,,,,,,,,,,
2,Rudyard Kipling's The Jungle Book,Stephen Sommers,"['Edward S. Feldman', 'Raju Patel']",,,Basil Poledouris,Juan Ruiz Anchía,Bob Ducsay,"['Baloo Productions', 'Jungle Book Films', 'Walt Disney Pictures']",Buena Vista Pictures,"['December 25, 1994']",111 minutes,United States,English,$30 million,$43.2 million,111,30000000.0,43200000.0,1994-12-25,7.1,N/A,,,"['Stephen Sommers', 'Ronald Yanover', 'Mark Geldman']","['Ronald Yanover', 'Mark Geldman']","['The Jungle Book', 'and', 'The Second Jungle Book', 'by', 'Rudyard Kipling']","['Jason Scott Lee', 'Cary Elwes', 'Lena Headey', 'Sam Neill', 'John Cleese']",,,,,,,,,
3,The Aristocats,Wolfgang Reitherman,"['Winston Hibler', 'Wolfgang Reitherman']",,,George Bruns,,Tom Acosta,,Buena Vista Distribution,"['December 11, 1970 (premiere)', 'December 24, 1970 (United States)']",79 minutes,United States,English,$4 million,$191 million,79,4000000.0,191000000.0,1970-12-11,7.1,66,64%,Walt Disney Productions,,"['Ken Anderson', 'Larry Clemmons', 'Eric Cleworth', 'Vance Gerry', 'Julius Svendsen', 'Frank Thomas', 'Ralph Wright']","['Tom McGowan', 'Tom Rowe']","['Phil Harris', 'Eva Gabor', 'Sterling Holloway', 'Scatman Crothers', 'Paul Winchell', 'Lord Tim Hudson', 'Thurl Ravenscroft', 'Dean Clark', 'Liz English', 'Gary Dubin']",,,,,,,,,
4,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Jerry Bruckheimer,"['Ted Elliott', 'Terry Rossio']",,Hans Zimmer,Dariusz Wolski,"['Craig Wood', 'Stephen Rivkin']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",Buena Vista Pictures,"['June 24, 2006 ( Disneyland Resort )', 'July 7, 2006 (United States)']",150 minutes,United States,English,$225 million,$1.066 billion,150,225000000.0,1066000000.0,2006-06-24,7.3,53,53%,,,,"['Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']",,,,,,,,,
5,Heavyweights,Steven Brill,"['Roger Birnbaum', 'Joe Roth', 'Morgan Michael Fottrell', 'Charles J.D. Schlissel', 'Jack Giarraputo']","['Steven Brill', 'Judd Apatow']",,J. A. C. Redford,Victor Hammer,C. Timothy O'Meara,"['Walt Disney Pictures', 'Caravan Pictures']",Buena Vista Pictures,"['February 17, 1995']",100 minutes,United States,English,,$17.6 million,100,,17600000.0,1995-02-17,6.6,42,29%,,,,,"['Tom McGowan', 'Aaron Schwartz', 'Shaun Weiss', 'Tom Hodges', 'Leah Lail', 'Paul Feig', 'Kenan Thompson', 'David Bowe', 'Max Goldblatt', 'Robert Zalkind', 'Patrick LaBrecque', 'Jeffrey Tambor', 'Jerry Stiller', 'Anne Meara', 'Ben Stiller']",,,,,,,,,
6,The Barefoot Executive,Robert Butler,Bill Anderson,,Kurt Russell,Robert F. Brunner,Charles F. Wheeler,Robert Stafford,,Buena Vista Distribution,"March 17, 1971",96 minutes,United States,English,,,96,,,1971-03-17,6.1,55,83%,Walt Disney Productions,Joseph L. McEveety,"['Lila Garrett', 'Bernie Kahn', 'Stewart C. Billett']",,"['Kurt Russell', 'Joe Flynn', 'Wally Cox', 'Heather North', 'John Ritter', 'Harry Morgan']",,,,,,,,,
7,Snow White and the Seven Dwarfs,"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",Walt Disney,"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']",,"['Frank Churchill', 'Paul Smith', 'Leigh Harline']",,,,RKO Radio Pictures,"['December 21, 1937 ( Carthay Circle Theatre , Los Angeles , CA , premiere)']",83 minutes,United States,English,$1.49 million,$418 million,83,1490000.0,418000000.0,1937-12-21,7.6,95,,Walt Disney Productions,,,"['Snow White', 'by The', 'Brothers Grimm']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']",,,,,,,,,
8,Invincible,Ericson Core,"['Gordon Gray', 'Mark Ciardi']",Brad Gann,,Mark Isham,Ericson Core,Gerald B. Greenberg,"['Walt Disney Pictures', 'Mayhem Pictures']",Buena Vista Pictures,"['August 25, 2006']",104 minutes,United States,English,$30 million,$58.5 million,104,30000000.0,58500000.0,2006-08-25,8.8,N/A,,,,,,"['Mark Wahlberg', 'Greg Kinnear', 'Elizabeth Banks', 'Michael Rispoli']",,,,,,,,,
9,Man of the House,James Orr,"['Bonnie Bruckheimer', 'Marty Katz']",,Jonathan Taylor Thomas,Mark Mancina,Jamie Anderson,Harry Keramidas,"['Walt Disney Pictures', 'All Girl Productions', 'Orr & Cruickshank Productions']",Buena Vista Pictures,"['March 3, 1995']",96 minutes,United States,English,$22 million,"$40,070,995",96,22000000.0,40070995.0,1995-03-03,5.4,35,9%,,"['James Orr', 'Jim Cruickshank']","['David E. Peckinpah', 'Richard Jefferies']",,"['Chevy Chase', 'Farrah Fawcett', 'Jonathan Taylor Thomas', 'George Wendt']",,,,,,,,,
